* File generated by WRT_WOUDC,Ver. Mar-2010
* 'na' means not available

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2018-03-15,DWD-MOHp,0.0,wolfgang.steinbrecht@dwd.de

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,099,Hohenpeissenberg,DEU,10962

#INSTRUMENT
Name,Model,Number
Brewer-Mast,730-10,na

#LOCATION
Latitude,Longitude,Height
47.8,11.0,976.

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2018-02-14,06:05:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLcode,ObsType,Instrument,Number
358.0,2,377.9,1.090,412.0,0,0,Dobson,104

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesgroundO3
RS92-AGP,,,,no correction,bubbler,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
898.99,3.24,-8.7,3.1,136.,0,0.,976.0,73.,18.9
892.97,3.24,-6.1,1.9,114.,0,10.,1028.4,63.,18.9
886.67,3.21,-6.1,1.2,114.,0,20.,1083.8,56.,18.9
881.76,3.25,-6.2,0.5,153.,0,30.,1127.3,48.,18.8
875.81,3.32,-6.3,0.4,253.,0,40.,1180.2,48.,18.8
870.31,3.38,-6.7,0.7,119.,0,50.,1229.5,49.,18.8
865.29,3.46,-7.0,0.8,99.,0,60.,1274.6,49.,18.8
859.71,3.43,-7.4,0.9,206.,0,70.,1325.1,54.,18.8
852.85,3.43,-7.7,1.4,173.,0,80.,1387.4,48.,18.8
847.22,3.42,-8.1,1.5,177.,0,90.,1438.9,52.,18.8
841.61,3.44,-8.3,1.6,197.,0,100.,1490.5,51.,18.8
836.85,3.43,-8.6,1.4,181.,0,110.,1534.5,49.,18.9
831.89,3.47,-8.6,2.3,129.,0,120.,1580.6,37.,18.9
826.16,3.54,-9.0,4.3,108.,0,130.,1634.2,37.,18.9
821.30,3.56,-9.2,5.8,97.,0,140.,1679.8,36.,18.8
817.37,3.61,-9.4,6.6,90.,0,150.,1716.9,37.,18.8
813.38,3.66,-9.6,6.5,268.,0,160.,1754.7,36.,18.8
809.22,3.68,-9.8,5.9,269.,0,170.,1794.3,37.,18.9
804.72,3.72,-10.2,5.6,91.,0,180.,1837.3,38.,18.8
798.79,3.70,-10.6,6.1,92.,0,190.,1894.3,37.,18.8
794.64,3.71,-10.9,7.1,90.,0,200.,1934.3,35.,18.8
790.77,3.68,-11.3,7.6,267.,0,210.,1971.8,36.,18.8
786.98,3.67,-11.7,6.9,265.,0,220.,2008.7,37.,18.8
783.19,3.66,-12.0,5.3,91.,0,230.,2045.6,38.,18.8
779.00,3.64,-12.3,4.5,114.,0,240.,2086.6,37.,18.8
775.02,3.63,-12.6,4.8,128.,0,250.,2125.8,32.,18.9
771.35,3.63,-12.9,4.1,125.,0,260.,2162.0,32.,18.8
767.29,3.63,-13.1,2.7,113.,0,270.,2202.2,29.,18.8
763.54,3.62,-13.4,1.7,108.,0,280.,2239.5,28.,18.8
759.71,3.63,-13.8,1.3,135.,0,290.,2277.8,29.,18.8
755.52,3.63,-14.1,1.9,163.,0,300.,2319.8,29.,18.8
751.47,3.62,-14.5,2.7,169.,0,310.,2360.5,28.,18.8
747.55,3.63,-14.7,3.1,169.,0,320.,2400.2,24.,18.9
743.56,3.62,-15.0,3.5,165.,0,330.,2440.7,21.,18.8
739.49,3.62,-15.1,4.2,157.,0,340.,2482.2,15.,18.9
735.47,3.61,-15.3,4.5,151.,0,350.,2523.4,12.,18.8
731.41,3.61,-15.1,3.4,146.,0,360.,2565.2,8.,18.9
727.09,3.61,-15.2,1.4,132.,0,370.,2609.9,6.,18.9
723.20,3.58,-15.3,0.3,225.,0,380.,2650.5,5.,18.9
719.20,3.47,-15.6,0.7,239.,0,390.,2692.3,5.,18.9
715.23,3.37,-16.0,2.2,207.,0,400.,2734.1,5.,18.9
711.44,3.30,-16.3,3.3,187.,0,410.,2774.1,5.,18.9
707.02,3.25,-16.7,3.9,166.,0,420.,2820.9,5.,18.9
701.68,3.26,-17.0,4.4,152.,0,430.,2877.8,5.,18.8
697.40,3.31,-17.4,4.5,148.,0,440.,2923.7,5.,18.8
692.87,3.37,-17.8,3.8,141.,0,450.,2972.5,5.,18.9
688.83,3.42,-18.1,3.2,119.,0,460.,3016.2,5.,18.8
685.08,3.44,-18.4,3.6,103.,0,470.,3057.0,5.,18.9
681.38,3.48,-18.7,3.8,104.,0,480.,3097.4,5.,18.8
677.46,3.48,-19.0,2.9,116.,0,490.,3140.3,6.,18.8
672.87,3.44,-19.2,1.8,145.,0,500.,3190.9,6.,18.8
669.05,3.41,-19.4,1.9,182.,0,510.,3233.3,7.,18.8
665.47,3.38,-19.8,2.7,184.,0,520.,3273.1,8.,18.8
661.85,3.37,-20.0,3.2,165.,0,530.,3313.6,12.,18.8
657.74,3.34,-20.3,3.7,139.,0,540.,3359.7,11.,18.8
654.22,3.32,-20.3,4.1,122.,0,550.,3399.5,7.,18.8
650.78,3.30,-20.4,3.9,121.,0,560.,3438.5,9.,18.8
647.21,3.28,-20.7,3.8,133.,0,570.,3479.2,11.,18.8
643.60,3.28,-21.0,4.9,148.,0,580.,3520.6,13.,18.8
638.95,3.25,-21.5,7.1,152.,0,590.,3574.1,13.,18.8
635.49,3.24,-21.9,9.0,151.,0,600.,3614.1,13.,18.8
632.04,3.24,-22.2,9.9,148.,0,610.,3654.1,13.,18.8
628.55,3.22,-22.5,10.2,143.,0,620.,3694.8,12.,18.8
625.20,3.22,-22.7,10.2,137.,0,630.,3734.0,13.,18.8
621.98,3.21,-23.1,10.2,135.,0,640.,3771.9,13.,18.8
618.57,3.19,-23.4,10.3,137.,0,650.,3812.1,14.,18.7
615.04,3.18,-23.8,10.5,139.,0,660.,3853.9,14.,18.8
611.85,3.17,-24.2,10.5,136.,0,670.,3891.9,14.,18.7
608.43,3.16,-24.5,10.2,130.,0,680.,3932.7,13.,18.8
605.32,3.15,-24.9,9.7,122.,0,690.,3970.0,13.,18.7
602.09,3.13,-25.2,9.5,118.,0,700.,4008.9,13.,18.7
598.60,3.11,-25.6,9.9,119.,0,710.,4051.1,13.,18.7
595.39,3.11,-25.9,10.3,123.,0,720.,4090.1,14.,18.7
592.20,3.10,-26.3,10.0,129.,0,730.,4129.0,14.,18.7
587.74,3.11,-26.7,9.4,131.,0,740.,4183.6,16.,18.7
583.34,3.06,-27.2,9.3,126.,0,750.,4237.8,16.,18.7
580.29,3.04,-27.6,9.7,118.,0,760.,4275.5,17.,18.7
577.01,3.03,-27.9,9.3,115.,0,770.,4316.3,17.,18.7
572.90,3.04,-28.4,7.6,116.,0,780.,4367.6,18.,18.7
569.57,3.01,-28.8,5.9,120.,0,790.,4409.3,17.,18.6
566.37,2.98,-29.0,5.4,129.,0,800.,4449.6,9.,18.6
562.16,2.98,-29.3,6.1,139.,0,810.,4503.0,10.,18.6
558.64,2.97,-29.6,6.7,140.,0,820.,4547.8,8.,18.6
555.22,2.99,-29.8,7.5,134.,0,830.,4591.6,7.,18.6
551.89,3.00,-30.1,8.6,134.,0,840.,4634.4,8.,18.6
548.11,3.02,-30.5,9.4,138.,0,850.,4683.3,10.,18.6
544.85,3.03,-30.8,9.6,140.,0,860.,4725.7,10.,18.6
